Index,Adsorbent,Directory,co2_0.1bar,co2_2.67bar,CH4_0.2bar,CH4_5.33bar,CO2_wc,CH4_wc,CO2_sc
0,ABAYIO_clean,MOF000,0.169745442,10.72188883,0.172653733,2.285920715,10.552143388,2.113266982,9.522938936279429
1,ABAYOU_clean,MOF001,0.175452392,10.06287768,0.175834396,2.380967811,9.887425288,2.205133415,8.58083463072602
2,ABETIN_clean,MOF002,0.093964605,2.214891393,0.094553154,2.473589634,2.120926788,2.37903648,1.8179655368817735
3,ABEXIQ_clean,MOF003,0.072952876,4.337089226,0.073885831,1.04255432,4.264136349999999,0.968668489,8.446183790445014
4,ABIYIV_clean,MOF004,0.05889293,2.100676923,0.057875859,0.893128783,2.041783993,0.835252924,4.775359168392791
5,ABULOB_clean,MOF005,0.750060271,8.645048196,0.764849604,4.643176564,7.894987925,3.87832696,3.780185247647314
6,ABUWOJ_clean,MOF006,0.164813,7.755090338,0.16571521,2.693381272,7.590277338,2.5276660619999998,5.845879889787528
7,ac403674p_si_001_clean,MOF007,0.038381312,0.143420815,0.038845426,0.923407652,0.105039503,0.884562226,0.3153403750470874
8,ACAJIZ_clean,MOF008,0.078385527,2.19084153,0.080130668,1.228593688,2.112456003,1.14846302,3.62045828553266
9,ACAJOF_clean,MOF009,0.06542059,1.971951816,0.06474815,1.327188537,1.906531226,1.262440387,3.0166473232855866
10,ACIBOE_clean,MOF010,0.154150085,10.3786027,0.152755841,3.010865134,10.224452615,2.858109293,6.998556087474761
11,ACOGAB_clean,MOF011,0.263973811,4.927583207,0.261935359,2.99948534,4.663609396,2.737549981,3.335401238281239
12,ACOGEF_clean,MOF012,0.232689422,4.478132001,0.239234291,2.691002407,4.245442579,2.451768116,3.378653600634729
13,ACOLOV_clean,MOF013,0.106219605,8.835797282,0.106328071,2.369898932,8.729577677,2.263570861,7.569667108819931
14,acs.cgd.5b01554_VAGNUP1452791_clean,MOF014,0.010186407,1.292628159,0.010143037,0.25902208,1.282441752,0.248879043,10.132058503555864
15,acs.cgd.5b01686_WAHFUJ1434675_clean,MOF015,0.111306366,3.276821852,0.10954957,1.547864632,3.165515486,1.438315062,4.298141580560895
16,acs.chemmater.5b03723_cm5b03723_si_004_clean,MOF016,0.375262756,11.71234201,0.376056273,3.009376695,11.337079254,2.6333204219999997,7.901836787118632
17,acs.chemmater.5b03723_cm5b03723_si_005_clean,MOF017,0.199126208,13.6812251,0.200310293,3.107827638,13.482098892000002,2.907517345,8.937764900200003
18,acs.chemmater.6b02817_cm6b02817_si_004_clean,MOF018,0.159752162,13.29930189,0.160872328,3.260082843,13.139549728,3.099210515,8.282492877798878
19,acs.chemrev.6b00346_cr6b00346_si_001_clean,MOF019,0.127739769,7.703975283,0.130104855,2.917611771,7.576235514,2.787506916,5.361030044478302
20,acs.inorgchem.5b02973_ic5b02973_si_002_clean,MOF020,0.264730956,1.138503696,0.264239067,2.116664539,0.8737727399999999,1.8524254719999997,1.092051887018456
21,acs.inorgchem.6b00081_ic6b00081_si_001_clean,MOF021,0.049669515,1.017047045,0.048631599,1.00282263,0.96737753,0.954191031,2.059101615431477
22,acs.inorgchem.6b00136_ic6b00136_si_002_clean,MOF022,0.350216585,8.021749465,0.348984808,3.414441731,7.671532879999999,3.065456923,4.76991072925743
23,acs.inorgchem.6b00276_ic6b00276_si_006_clean,MOF023,0.453771833,11.94157059,0.447108042,4.211612593,11.487798757,3.764504551,5.756703975040694
24,acs.inorgchem.6b00433_ic6b00433_si_002_clean,MOF024,0.122804971,2.262961041,0.125561746,1.852505646,2.14015607,1.7269439,2.480152580868302
