Adsorbent,CO2_0.1bar,CO2_2.67bar,CH4_0.2bar,CH4_5.33bar,CO2_wc,CH4_wc,CO2_sc,CO2_3p,CH4_3p,CO2_3p_sim,CH4_3p_sim,CH4_Isotherm_1,par_1_CH4,par_2_CH4,Acc_CH4(-R2),CO2_Isotherm_1,par_1_CO2,par_2_CO2,Acc_CO2(-R2),CO2_4p,CH4_4p,CO2_4p_sim,CH4_4p_sim,CH4_Isotherm_2,par_CH4_2,Acc_CH4(-R2)_2,CO2_Isotherm_2,par_CO2_2,Acc_CO2(-R2)_2,CO2_5p,CO2_5p_sim,CO2_Isotherm_3,par_CO2_3,Acc_CO2(-R2)_3,CH4_Isotherm_3,Density,
ABAYIO_clean,0.169745442,10.72188883,0.172653733,2.285920715,10.55214339,2.113266982,9.522938936,10,10,11.57957515,3.496217994,Lang,8.798630815,0.065903398,-0.999401132,Lang,11.9271238,3.331825133,-0.902151328,6,NaN,11.22694025,NaN,NaN,NaN,-0.999401132,Sips,[11.64827151  1.57883023  2.02842344],-0.99942128,NaN,NaN,NaN,NaN,-0.99942128,,949.1242313,
ABAYOU_clean,0.175452392,10.06287768,0.175834396,2.380967811,9.887425288,2.205133415,8.580834631,10,10,10.69230758,3.597640271,Lang,8.631916664,0.071562985,-0.999512404,Lang,10.9416042,4.289000131,-0.861115609,1.4,NaN,9.81844557,NaN,NaN,NaN,-0.999512404,Sips,[10.69975654  4.86071556  2.46472194],-0.997384953,NaN,NaN,NaN,NaN,-0.997384953,,979.265817,
ABEXIQ_clean,0.072952876,4.337089226,0.073885831,1.04255432,4.26413635,0.968668489,8.44618379,10,10,4.692431856,1.396651689,Lang,2.280738451,0.158072417,-0.999982768,Lang,4.836780456,3.250763462,-0.906161751,6,NaN,4.619788313,NaN,NaN,NaN,-0.999982768,Quad,[2.36111661 0.         1.57916879],-0.999971292,NaN,NaN,NaN,NaN,-0.999971292,,1787.597317, 
ABIYIV_clean,0.05889293,2.100676923,0.057875859,0.893128783,2.041783993,0.835252924,4.775359168,10,10,2.109888468,1.230542045,Lang,2.16332442,0.131921693,-0.99999296,Lang,3.254876284,0.184360045,-0.622211132,1.4,NaN,2.098016805,NaN,NaN,NaN,-0.99999296,Sips,[ 2.1073188  49.95354977  3.23679844],-0.999982825,NaN,NaN,NaN,NaN,-0.999982825,,1346.589435,
ABULOB_clean,0.750060271,8.645048196,0.764849604,4.643176564,7.894987925,3.87832696,3.780185248,10,10,8.646771517,5.097971073,Lang,5.764482533,0.76502543,-0.999982779,Lang,9.675809912,0.840430725,-0.908328007,1.4,NaN,8.645813783,NaN,NaN,NaN,-0.999982779,Sips,[   8.64570984 3428.05413242    4.55734794],-0.999999958,NaN,NaN,NaN,NaN,-0.999999958,,1319.225815,
ABUWOJ_clean,0.164813,7.755090338,0.16571521,2.693381272,7.590277338,2.527666062,5.84587989,10,10,8.378416523,3.764933462,Lang,6.895077872,0.120273587,-0.999997937,Lang,8.631117017,3.315561939,-0.905848327,6,NaN,8.094928169,NaN,NaN,NaN,-0.999997937,Quad,[4.22120397 0.05982102 1.69792647],-0.999249227,NaN,NaN,NaN,NaN,-0.999249227,,1158.433869,
ACAJIZ_clean,0.078385527,2.19084153,0.080130668,1.228593688,2.112456003,1.14846302,3.620458286,10,10,3.192579676,1.677136788,Lang,2.875176326,0.139990129,-0.999997548,Lang,3.830604934,0.500392076,-0.997853609,NaN,NaN,NaN,NaN,NaN,NaN,-0.999997548,NaN,NaN,-0.997853609,NaN,NaN,NaN,NaN,-0.997853609,,1301.466957,
ACIBOE_clean,0.154150085,10.3786027,0.152755841,3.010865134,10.22445262,2.858109293,6.998556087,10,10,11.21250817,4.363150274,Lang,9.011075005,0.093993265,-0.999978207,Lang,11.55056368,3.316763411,-0.902253562,6,NaN,11.00711772,NaN,NaN,NaN,-0.999978207,Quad,[ 5.63590524 -0.03517431  1.55996153],-0.999911127,NaN,NaN,NaN,NaN,-0.999911127,,1101.039638,
ACOLOV_clean,0.106219605,8.835797282,0.106328071,2.369898932,8.729577677,2.263570861,7.569667109,10,10,10.60114792,3.833571979,Lang,12.99051888,0.041865166,-0.999999664,Lang,11.43319375,1.27406283,-0.977734458,6,NaN,9.827651877,NaN,NaN,NaN,-0.999999664,Sips,[10.80320243  0.7217949   1.86147049],-0.996935667,NaN,NaN,NaN,NaN,-0.996935667,,863.405918,
acs.cgd.5b01686_WAHFUJ1434675_clean,0.111306366,3.276821852,0.10954957,1.547864632,3.165515486,1.438315062,4.298141581,10,10,3.985735582,2.046887301,Lang,3.238518436,0.17177264,-0.999998049,Lang,4.326685123,1.168974351,-0.986295255,6,NaN,3.797029828,NaN,NaN,NaN,-0.999998049,Sips,[4.12822464 0.88039278 1.5020498 ],-0.99986821,NaN,NaN,NaN,NaN,-0.99986821,,1284.622931,
