,MOF_name,P_high1,opt_MACO_Diffev
0,MOF036,9.684383516,-1691.55396
1,MOF131,9.764767424,-876.7375399
2,MOF228,9.713534268,-638.6597738
3,MOF305,6.911927411,-370.1896484
4,MOF306,6.928510517,-372.5238897
5,MOF394,9.97064451,-342.3948092
6,MOF437,9.991696861,-318.7450942
7,MOF513,6.322569125,-363.3590188
8,MOF514,5.995554661,-452.3770905
9,MOF642,7.766774909,-377.6232588
10,MOF707,9.946489617,-334.1820427
11,MOF821,9.976227663,-329.6017468
12,MOF853,6.181723697,-408.9079994
13,MOF928,9.978806508,-454.8782312
14,MOF1118,9.996178538,-334.9440192
15,MOF1216,9.985676139,-1141.661825
16,MOF1333,9.19288068,-329.8946976
17,MOF1399,6.080697219,-431.7796605
18,MOF1408,6.30061508,-380.8231294
19,MOF1409,6.508089859,-387.2709717
20,MOF1488,6.952636744,-2747.573053
21,MOF1698,9.963729187,-348.6094753
22,MOF1737,9.968155348,-330.4035525
23,MOF1859,7.479950325,-449.4312787
24,MOF1910,8.734274337,-329.3408111
25,MOF1911,8.991556871,-324.7699257
26,MOF1959,8.935225111,-816.4883578
27,MOF1985,7.775152362,-378.7172699
28,MOF2049,9.990210403,-359.7587881
29,MOF2305,6.731009373,-337.0658405
30,MOF2306,7.54567752,-318.2068349
31,MOF2307,7.656760784,-344.401808
32,MOF2325,9.283315336,-426.9750402
33,MOF2378,9.932936774,-480.0939427
34,MOF2383,7.496241055,-485.7367667
35,MOF2790,7.96634922,-335.3385277
36,MOF2816,9.98456167,-333.1780325
37,MOF2818,9.959432172,-378.7864414
38,MOF2821,7.360277759,-503.4693337
39,MOF2917,9.964507822,-335.8455686
40,MOF2984,9.90130428,-346.9473511
41,MOF3112,6.052853876,-398.4143551
42,MOF3226,7.745874301,-386.7011968
43,MOF3446,8.644020299,-325.7961359
44,MOF3447,8.239407349,-333.9153473
45,MOF3449,6.847013538,-676.5307681
46,MOF3525,6.666722184,-311.4018306
47,MOF3708,9.979058266,-322.1957369
48,MOF3709,9.993563077,-368.1753782
49,MOF3767,8.191692305,-313.9695781
50,MOF3887,7.446604968,-345.6679473
51,MOF4030,9.058099187,-307.2622871
52,MOF4067,9.937764371,-313.6699879
53,MOF4109,9.969625863,-427.5375842
54,MOF4121,7.632821981,-327.613167
55,MOF4122,7.770162999,-334.4245603
56,MOF4123,7.812820478,-345.2917912
57,MOF4157,8.104232108,-330.7897627
58,MOF4158,6.883584023,-325.275776
59,MOF4171,9.111309242,-362.0654138
60,MOF4461,7.211185852,-703.4454673
61,MOF4604,8.456581117,-368.1740122
62,MOF4620,9.872083186,-321.7825614
63,MOF4669,9.803732502,-454.5729499
64,MOF4730,9.264583506,-342.5284706
65,MOF4828,9.902058781,-326.2678095
66,MOF4853,4.058902184,-579.2028219
67,MOF4877,9.996885073,-723.5798474
68,MOF077,9.808751733,-380.0254526
69,MOF172,9.706857137,-306.5996163
70,MOF641,9.959716245,-361.3770711
71,MOF1053,9.985910435,-335.2005263
72,MOF1515,9.988553661,-324.5852053
73,MOF1688,9.912311114,-310.1009101
74,MOF1819,9.997018133,-320.9572073
75,MOF1858,9.971227307,-442.5970699
76,MOF1906,9.87591502,-310.3754071
77,MOF1919,9.9522941,-500.469746
78,MOF2174,9.868771405,-316.0290479
79,MOF2326,9.618645615,-414.2328422
80,MOF2335,9.958708507,-318.7875552
81,MOF2406,9.984880029,-314.2216748
82,MOF2675,9.985598908,-334.2094198
83,MOF2814,9.983704519,-307.823092
84,MOF2815,9.978317511,-322.0288266
85,MOF2855,9.995499723,-467.247366
86,MOF2967,9.978796375,-339.1576405
87,MOF3663,9.733452276,-305.9298323
88,MOF3803,9.960282,-314.0433126
89,MOF4029,9.604915876,-306.6836218
90,MOF4119,9.932499685,-435.6168496
91,MOF4185,8.691744693,-433.2569532
92,MOF4245,9.835252583,-412.6359722
93,MOF4283,9.962508136,-360.7496752
94,MOF4630,9.943362715,-305.7060767
95,MOF4672,9.944960114,-302.3372259
96,MOF041,7.285050594,-701.1038338
97,MOF046,9.862755773,-343.0743103
98,MOF107,8.126370673,-564.6451981
99,MOF499,9.997665171,-365.8306856
100,MOF643,9.845109442,-373.7136715
101,MOF695,9.986673205,-345.5208385
102,MOF1132,9.98588053,-347.8624048
103,MOF1211,9.988007065,-412.1618248
104,MOF1284,9.998178238,-316.4207891
105,MOF1482,8.933326713,-409.8429761
106,MOF1635,9.987285553,-398.8432098
107,MOF1920,9.996520205,-483.3271313
108,MOF2324,9.533081913,-409.3427538
109,MOF2328,9.383246976,-412.0829035
110,MOF2722,8.134569626,-420.3731593
111,MOF2865,9.976285555,-308.5448719
112,MOF3012,7.610582127,-517.5552817
113,MOF3059,8.886181685,-406.11059
114,MOF3095,9.968005546,-339.1164534
115,MOF3711,9.991777476,-333.8951568
116,MOF3806,9.345200008,-722.8599342
117,MOF4085,9.985071877,-326.4237159
118,MOF4110,9.171750294,-408.4974568
119,MOF4624,8.081395241,-595.3600822
